	# GEO Accession	Sample Name	Experiment	NA Accession	Center	SRA Run Selector	GEO FTP	Embargo end date	SRR	modus
18	GSM1227087	HUES64 cell line	Whole genome sequencing		Broad	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX347298		2014-10-15	SRR1091089	SINGLE
18	GSM1227087	HUES64 cell line	Whole genome sequencing		Broad	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX347298		2014-10-15	SRR1091090	SINGLE
19	GSM1227088	H9 cell line	Whole genome sequencing		Broad	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX347299		2014-10-15	SRR1091088	SINGLE
19	GSM1227088	H9 cell line	Whole genome sequencing		Broad	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX347299		2014-10-15	SRR1091091	SINGLE
19	GSM1227088	H9 cell line	Whole genome sequencing		Broad	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX347299		2014-10-15	SRR1091092	SINGLE
20	GSM1282348	adipose	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388732		2014-09-12	SRR1045622	SINGLE
20	GSM1282348	adipose	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388732		2014-09-12	SRR1045623	SINGLE
20	GSM1282348	adipose	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388732		2014-09-12	SRR1045624	SINGLE
20	GSM1282348	adipose	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388732		2014-09-12	SRR1045625	SINGLE
20	GSM1282348	adipose	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388732		2014-09-12	SRR1045626	SINGLE
20	GSM1282348	adipose	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388732		2014-09-12	SRR1045627	SINGLE
20	GSM1282348	adipose	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388732		2014-09-12	SRR1045628	SINGLE
21	GSM1282349	gastric	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388733		2014-09-12	SRR1045629	SINGLE
21	GSM1282349	gastric	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388733		2014-09-12	SRR1045630	SINGLE
21	GSM1282349	gastric	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388733		2014-09-12	SRR1045631	SINGLE
21	GSM1282349	gastric	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388733		2014-09-12	SRR1045632	SINGLE
21	GSM1282349	gastric	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388733		2014-09-12	SRR1045633	SINGLE
21	GSM1282349	gastric	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388733		2014-09-12	SRR1045634	SINGLE
21	GSM1282349	gastric	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388733		2014-09-12	SRR1045635	SINGLE
22	GSM1282350	lung	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388734		2014-09-12	SRR1045636	SINGLE
22	GSM1282350	lung	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388734		2014-09-12	SRR1045637	SINGLE
22	GSM1282350	lung	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388734		2014-09-12	SRR1045638	SINGLE
22	GSM1282350	lung	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388734		2014-09-12	SRR1045639	SINGLE
22	GSM1282350	lung	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388734		2014-09-12	SRR1045640	SINGLE
22	GSM1282350	lung	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388734		2014-09-12	SRR1045641	SINGLE
23	GSM1282351	psoas muscle	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388735		2014-09-12	SRR1045645	SINGLE
23	GSM1282351	psoas muscle	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388735		2014-09-12	SRR1045646	SINGLE
23	GSM1282351	psoas muscle	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388735		2014-09-12	SRR1045647	SINGLE
23	GSM1282351	psoas muscle	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388735		2014-09-12	SRR1045648	SINGLE
23	GSM1282351	psoas muscle	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388735		2014-09-12	SRR1045649	SINGLE
23	GSM1282351	psoas muscle	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388735		2014-09-12	SRR1045650	SINGLE
24	GSM1282352	heart, right ventricle	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388736		2014-09-12	SRR1045651	SINGLE
24	GSM1282352	heart, right ventricle	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388736		2014-09-12	SRR1045652	SINGLE
24	GSM1282352	heart, right ventricle	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388736		2014-09-12	SRR1045653	SINGLE
24	GSM1282352	heart, right ventricle	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388736		2014-09-12	SRR1045654	SINGLE
24	GSM1282352	heart, right ventricle	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388736		2014-09-12	SRR1045655	SINGLE
24	GSM1282352	heart, right ventricle	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388736		2014-09-12	SRR1045656	SINGLE
24	GSM1282352	heart, right ventricle	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388736		2014-09-12	SRR1045657	SINGLE
24	GSM1282352	heart, right ventricle	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388736		2014-09-12	SRR1045658	SINGLE
25	GSM1282353	spleen	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388737		2014-09-12	SRR1045660	SINGLE
25	GSM1282353	spleen	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388737		2014-09-12	SRR1045661	SINGLE
25	GSM1282353	spleen	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388737		2014-09-12	SRR1045662	SINGLE
25	GSM1282353	spleen	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388737		2014-09-12	SRR1045663	SINGLE
25	GSM1282353	spleen	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388737		2014-09-12	SRR1045664	SINGLE
25	GSM1282353	spleen	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388737		2014-09-12	SRR1045665	SINGLE
25	GSM1282353	spleen	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388737		2014-09-12	SRR1045666	SINGLE
26	GSM1282354	adrenal gland	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388738		2014-09-12	SRR1045668	SINGLE
26	GSM1282354	adrenal gland	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388738		2014-09-12	SRR1045669	SINGLE
26	GSM1282354	adrenal gland	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388738		2014-09-12	SRR1045670	SINGLE
26	GSM1282354	adrenal gland	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388738		2014-09-12	SRR1045671	SINGLE
26	GSM1282354	adrenal gland	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388738		2014-09-12	SRR1045672	SINGLE
26	GSM1282354	adrenal gland	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388738		2014-09-12	SRR1045673	SINGLE
26	GSM1282354	adrenal gland	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388738		2014-09-12	SRR1045674	SINGLE
26	GSM1282354	adrenal gland	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388738		2014-09-12	SRR1045675	SINGLE
27	GSM1282355	heart, aorta	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388739		2014-09-12	SRR1045676	SINGLE
27	GSM1282355	heart, aorta	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388739		2014-09-12	SRR1045677	SINGLE
27	GSM1282355	heart, aorta	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388739		2014-09-12	SRR1045678	SINGLE
27	GSM1282355	heart, aorta	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388739		2014-09-12	SRR1045679	SINGLE
27	GSM1282355	heart, aorta	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388739		2014-09-12	SRR1045680	SINGLE
27	GSM1282355	heart, aorta	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388739		2014-09-12	SRR1045681	SINGLE
28	GSM1282356	esophagus	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388740		2014-09-12	SRR1045682	SINGLE
28	GSM1282356	esophagus	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388740		2014-09-12	SRR1045683	SINGLE
28	GSM1282356	esophagus	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388740		2014-09-12	SRR1045684	SINGLE
28	GSM1282356	esophagus	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388740		2014-09-12	SRR1045685	SINGLE
28	GSM1282356	esophagus	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388740		2014-09-12	SRR1045686	SINGLE
28	GSM1282356	esophagus	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388740		2014-09-12	SRR1045687	SINGLE
28	GSM1282356	esophagus	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388740		2014-09-12	SRR1045688	SINGLE
29	GSM1282357	adipose	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388741		2014-09-12	SRR1045689	SINGLE
29	GSM1282357	adipose	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388741		2014-09-12	SRR1045690	SINGLE
29	GSM1282357	adipose	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388741		2014-09-12	SRR1045691	SINGLE
29	GSM1282357	adipose	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388741		2014-09-12	SRR1045692	SINGLE
29	GSM1282357	adipose	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388741		2014-09-12	SRR1045693	SINGLE
29	GSM1282357	adipose	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388741		2014-09-12	SRR1045694	SINGLE
29	GSM1282357	adipose	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388741		2014-09-12	SRR1045695	SINGLE
29	GSM1282357	adipose	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388741		2014-09-12	SRR1045696	SINGLE
30	GSM1282358	gastric	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388742		2014-09-12	SRR1045697	SINGLE
30	GSM1282358	gastric	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388742		2014-09-12	SRR1045698	SINGLE
30	GSM1282358	gastric	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388742		2014-09-12	SRR1045699	SINGLE
30	GSM1282358	gastric	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388742		2014-09-12	SRR1045700	SINGLE
30	GSM1282358	gastric	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388742		2014-09-12	SRR1045701	SINGLE
30	GSM1282358	gastric	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388742		2014-09-12	SRR1045702	SINGLE
30	GSM1282358	gastric	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388742		2014-09-12	SRR1045703	SINGLE
30	GSM1282358	gastric	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388742		2014-09-12	SRR1045704	SINGLE
31	GSM1282359	pancreas	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388743		2014-09-12	SRR1045706	SINGLE
31	GSM1282359	pancreas	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388743		2014-09-12	SRR1045707	SINGLE
31	GSM1282359	pancreas	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388743		2014-09-12	SRR1045708	SINGLE
31	GSM1282359	pancreas	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388743		2014-09-12	SRR1045709	SINGLE
31	GSM1282359	pancreas	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388743		2014-09-12	SRR1045710	SINGLE
31	GSM1282359	pancreas	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388743		2014-09-12	SRR1045711	SINGLE
32	GSM1282360	psoas muscle	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388744		2014-09-12	SRR1045712	SINGLE
32	GSM1282360	psoas muscle	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388744		2014-09-12	SRR1045713	SINGLE
32	GSM1282360	psoas muscle	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388744		2014-09-12	SRR1045714	SINGLE
32	GSM1282360	psoas muscle	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388744		2014-09-12	SRR1045715	SINGLE
32	GSM1282360	psoas muscle	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388744		2014-09-12	SRR1045716	SINGLE
32	GSM1282360	psoas muscle	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388744		2014-09-12	SRR1045717	SINGLE
33	GSM1282361	small intestine	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388745		2014-09-12	SRR1045718	SINGLE
33	GSM1282361	small intestine	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388745		2014-09-12	SRR1045719	SINGLE
33	GSM1282361	small intestine	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388745		2014-09-12	SRR1045720	SINGLE
33	GSM1282361	small intestine	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388745		2014-09-12	SRR1045721	SINGLE
33	GSM1282361	small intestine	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388745		2014-09-12	SRR1045722	SINGLE
33	GSM1282361	small intestine	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388745		2014-09-12	SRR1045723	SINGLE
34	GSM1282362	spleen	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388746		2014-09-12	SRR1045724	SINGLE
34	GSM1282362	spleen	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388746		2014-09-12	SRR1045725	SINGLE
34	GSM1282362	spleen	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388746		2014-09-12	SRR1045726	SINGLE
34	GSM1282362	spleen	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388746		2014-09-12	SRR1045727	SINGLE
34	GSM1282362	spleen	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388746		2014-09-12	SRR1045728	SINGLE
34	GSM1282362	spleen	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388746		2014-09-12	SRR1045729	SINGLE
34	GSM1282362	spleen	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388746		2014-09-12	SRR1045730	SINGLE
34	GSM1282362	spleen	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388746		2014-09-12	SRR1045731	SINGLE
35	GSM1282363	small intestine	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388747		2014-09-12	SRR1045757	SINGLE
35	GSM1282363	small intestine	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388747		2014-09-12	SRR1045758	SINGLE
35	GSM1282363	small intestine	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388747		2014-09-12	SRR1045759	SINGLE
35	GSM1282363	small intestine	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388747		2014-09-12	SRR1045760	SINGLE
35	GSM1282363	small intestine	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388747		2014-09-12	SRR1045761	SINGLE
35	GSM1282363	small intestine	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388747		2014-09-12	SRR1045762	SINGLE
35	GSM1282363	small intestine	Bisulfite-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388747		2014-09-12	SRR1045763	SINGLE
36	GSM1282364	heart, right atrium	H3K36me3		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX388748		2014-10-29	SRR1143972	SINGLE
37	GSM1296454	IMR90 cell line	Whole genome sequencing		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX398163		2014-12-26	SRR1171946	PAIRED
38	GSM1296455	H1 derived mesenchymal stem cells	smRNA-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX398164		2014-09-23	SRR1057687	SINGLE
39	GSM1296456	H1 derived mesenchymal stem cells	smRNA-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX398165		2014-09-23	SRR1057688	SINGLE
40	GSM1296457	H1 cell line	smRNA-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX398166		2014-09-23	SRR1057683	SINGLE
41	GSM1296458	H1 cell line	smRNA-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX398167		2014-09-23	SRR1057684	SINGLE
42	GSM1296459	H1 derived neuronal progenitor cultured cells	smRNA-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX398168		2014-09-23	SRR1057689	SINGLE
43	GSM1296460	H1 derived neuronal progenitor cultured cells	smRNA-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX398169		2014-09-23	SRR1057690	SINGLE
44	GSM1296461	H1 BMP4 derived trophoblast cultured cells	smRNA-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX398170		2014-09-23	SRR1057691	SINGLE
45	GSM1296462	H1 BMP4 derived trophoblast cultured cells	smRNA-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX398171		2014-09-23	SRR1057692	SINGLE
46	GSM1296463	H1 BMP4 derived mesendoderm cultured cells	smRNA-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX398172		2014-09-23	SRR1057685	SINGLE
47	GSM1296464	H1 BMP4 derived mesendoderm cultured cells	smRNA-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX398173		2014-09-23	SRR1057686	SINGLE
58	GSM1463095	H1 derived mesenchymal stem cells	TAB-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX667439		2015-05-02	SRR1534708	SINGLE
59	GSM1463096	H1 derived mesenchymal stem cells	TAB-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX667440		2015-05-02	SRR1534709	SINGLE
60	GSM1463097	H1 derived mesenchymal stem cells	TAB-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX667441		2015-05-02	SRR1534710	SINGLE
61	GSM1463098	H1 derived mesenchymal stem cells	TAB-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX667442		2015-05-02	SRR1534711	SINGLE
62	GSM1463099	H1 derived mesenchymal stem cells	TAB-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX667443		2015-05-02	SRR1534712	SINGLE
63	GSM1463100	H1 derived mesenchymal stem cells	TAB-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX667444		2015-05-02	SRR1534713	SINGLE
64	GSM1463101	H1 derived mesenchymal stem cells	TAB-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX667445		2015-05-02	SRR1534714	SINGLE
65	GSM1463102	H1 derived neuronal progenitor cultured cells	TAB-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX667446		2015-05-02	SRR1534715	SINGLE
66	GSM1463103	H1 derived neuronal progenitor cultured cells	TAB-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX667447		2015-05-02	SRR1534716	SINGLE
67	GSM1463104	H1 derived neuronal progenitor cultured cells	TAB-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX667448		2015-05-02	SRR1534717	SINGLE
68	GSM1463105	H1 derived neuronal progenitor cultured cells	TAB-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX667449		2015-05-02	SRR1534718	SINGLE
69	GSM1463106	H1 derived neuronal progenitor cultured cells	TAB-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX667450		2015-05-02	SRR1534719	SINGLE
70	GSM1463107	H1 derived neuronal progenitor cultured cells	TAB-Seq		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX667451		2015-05-02	SRR1534720	SINGLE
